target,task,model,experiment,source_layout,battery_name,mae,mape,mse,rmse,max_ae,bias,r2,pearson_r,endpoint_ae,endpoint_ape
RUL,ZN-coin2024,GRU,experiment1,flat,ZN-coin_423-1_20231205230055_02_2,105.6889486873851,0.9699441230453856,20137.60822881388,141.90704080070827,301.4729919433594,-94.07452790633492,-0.5806599879672327,0.3803424616739698,58.020599365234375,
RUL,ZN-coin2024,LSTM,experiment1,flat,ZN-coin_430-2_20231212185305_02_7,121.43308338057965,3.2699775453054647,23534.530279357183,153.40968117872217,338.65216064453125,113.83495469349424,-0.8472943720771904,0.4546354191613833,177.95794677734375,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_408-2_20231209231947_02_4,89.83062189985114,0.88210606578156,13201.192467833222,114.8964423636921,237.19332885742188,-77.78916466754416,-0.036200351613824,0.863670003715393,55.68646240234375,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_445-1_20240104212517_09_7,109.43611871470576,1.8140350094611792,18363.97537911234,135.5137460891416,328.30517578125,78.7026558585789,-0.041440198060195,0.6756855407332575,141.80975341796875,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_422-3_20231205230049_02_1,30.161792374632853,0.2423342393993096,1233.387303250247,35.119614224109114,61.287109375,-30.08299224151065,0.903187809705974,0.988369337154226,0.54486083984375,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_450-1_20240116203402_01_2_Batch-3,187.16312175914084,0.6554058282525599,46861.7559910242,216.47576305680087,393.4310302734375,-148.75512610754978,0.1080110219583997,0.819013447341254,40.05340576171875,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_443-2_20240104212500_09_5,88.2101746697332,0.9788136381057708,11772.968795797911,108.5033123724705,215.3328857421875,-83.32113074232726,0.5478890635613021,0.9253512978124128,56.641815185546875,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_450-2_20240116203410_01_4_Batch-3,221.0701035468344,0.6823263207398874,61828.45874214821,248.65329022988655,384.2351684570313,-218.9038497002359,-0.1768723250118795,0.9365941313394004,33.91522216796875,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_411-1_20231209232756_09_4,25.60214838286495,0.6320259694587671,941.3126098529652,30.680818272219614,54.43959045410156,-4.157380672367028,0.9261136098360162,0.966407011687946,48.003265380859375,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_434-3_20231227204618_03_1,64.50763460409762,0.5125485167349306,4924.351686467561,70.17372504340611,344.095947265625,49.11709764268663,0.9397079068603406,0.9869586400100132,80.95233154296875,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_410-2_20231209232626_09_2,20.33062904143273,0.8576056352715821,824.6224498167078,28.716240175494907,69.448486328125,14.165960326524036,0.935272963065209,0.993457585912516,67.47079467773438,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_414-2_20231209233354_06_6,27.53067473194483,0.3476519276949142,909.4464219198592,30.157029394817044,56.886627197265625,-27.53067473194483,0.9286148804766295,0.997558173929718,16.91290283203125,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_439-1_20231227204804_04_6,733.4978377274641,3.971855022705506,641225.0833137726,800.765311008021,1036.335693359375,733.2060660114438,-28.81714152776601,0.90117903773319,130.656982421875,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_433-1_20231227204534_01_4,68.38906045444861,0.4884615736485904,5380.295401238303,73.35049693927304,265.99383544921875,49.715173403108224,0.9370828706716235,0.9871500029966443,265.99383544921875,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_417-3_20231209234058_10_8,11.670531602161924,0.4311108947693622,216.8000333978261,14.724130989563564,39.112091064453125,3.5514657491308346,0.98298272891755,0.993774708050966,39.112091064453125,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_423-1_20231205230055_02_2,34.85748755413553,0.2829443855273474,2642.5671642376556,51.40590592760384,138.75302124023438,-27.858831030023676,0.7925771454799762,0.9335014976741642,16.523101806640625,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_434-2_20231227204612_01_8,55.50524118824042,0.3205744868258705,4259.294137972643,65.26326790754997,164.29132080078125,-49.21646110813971,0.9525621962180836,0.9910146068798402,164.29132080078125,
RUL,ZN-coin42,Attention,experiment1,flat,ZN-coin_439-1_20231227204804_04_6,777.5262312400998,3.1335159749685437,782564.2823099759,884.6266344113634,1151.062255859375,774.9616828377791,-35.389453077331034,0.8922611941064331,30.24652099609375,
RUL,ZN-coin42,Attention,experiment1,flat,ZN-coin_403-1_20231209225922_01_4,54.23812725720808,1.074718617286723,4646.520845961408,68.16539331626721,236.74072265625,-23.48382654214454,0.6352809356642797,0.9561563200957128,70.78472900390625,
RUL,ZN-coin42,Attention,experiment1,flat,ZN-coin_204-1_20231205230212_07_1,38.828748659099766,0.7125062432592429,1978.4655980669525,44.479946021403315,74.98049926757812,36.91069342962007,0.8447044260277955,0.9806247554396488,34.902862548828125,
RUL,ZN-coin42,Attention,experiment1,flat,ZN-coin_445-3_20240104212530_07_1,164.7743176307798,2.7282207896787307,31305.053877535505,176.93234265542156,326.1728515625,164.67714373071365,-2.691633750746709,0.7466860047154196,15.499237060546877,
RUL,ZN-coin42,Attention,experiment1,flat,ZN-coin_412-2_20231209233028_09_8,36.932614494772515,0.7579998682705344,1870.5177802133876,43.24948300515727,90.8990478515625,34.1500100918743,0.8531775672080087,0.979368703330646,52.827239990234375,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_445-3_20240104212530_07_1,154.76790583021588,4.151199265013147,27601.979784385807,166.13843560231874,253.2315673828125,154.76790583021588,-2.2549504608499036,0.819814673239609,80.15753173828125,
RUL,ZN-coin2024,GRU,experiment1,flat,ZN-coin_434-2_20231227204612_01_8,67.71366470719119,0.3151032362583778,7450.488297543226,86.31621109353229,322.53887939453125,-49.03869972890512,0.9170203347105425,0.9725692536521778,23.5865478515625,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_436-3_20231227204657_03_7,403.2205270970121,0.5595558437207306,230844.76240116515,480.4630707985424,888.4070434570312,-402.01823024575833,-0.0236927637927431,0.8516980497521164,128.01632690429688,
RUL,ZN-coin2024,MLP,experiment1,flat,ZN-coin_407-3_20231209231841_02_2,15.587586424844648,0.4074507226584264,370.5538807467366,19.249776121990006,38.78033447265625,-9.26748169413613,0.9709141380631156,0.9887904052833264,37.5679931640625,
RUL,ZN-coin2024,LSTM,experiment1,flat,ZN-coin_407-3_20231209231841_02_2,15.339511061568396,0.6068176433741608,384.0604856968292,19.59746120539161,56.670074462890625,-0.602940356944833,0.969853964989168,0.989457335237412,56.670074462890625,
RUL,ZN-coin2024,LSTM,experiment1,flat,ZN-coin_445-2_20240104212521_09_8,307.21951141719865,2.981658519341262,113601.53319944863,337.0482653856101,669.2587890625,307.03819727954277,-6.6913698863743845,0.8526621887084078,38.1666259765625,
RUL,ZN-coin2024,LSTM,experiment1,flat,ZN-coin_436-3_20231227204657_03_7,457.8011256719433,0.6375926014794863,268107.7996510179,517.791270350339,902.45703125,-457.6731097560523,-0.188937585433198,0.8708486590751261,90.05535888671875,
RUL,ZN-coin2024,LSTM,experiment1,flat,ZN-coin_414-2_20231209233354_06_6,55.677725750467054,0.8963191706794731,3963.485010645308,62.95621502794865,107.67169189453124,-46.142195796722646,0.6888944258896268,0.9252102576602912,67.6529541015625,
RUL,ZN-coin2024,LSTM,experiment1,flat,ZN-coin_408-2_20231209231947_02_4,100.40085022284856,0.8807011433392056,13304.20300083333,115.34384682692584,202.0086669921875,-93.8039549610499,-0.044285950757593,0.9562527346134264,50.918609619140625,
RUL,ZN-coin2024,LSTM,experiment1,flat,ZN-coin_445-1_20240104212517_09_7,171.7173503709876,1.3781234407195715,36041.31654362952,189.8455070409345,364.9407348632813,171.7173503709876,-1.0439406536256222,0.908574192877008,45.434051513671875,
RUL,ZN-coin2024,LSTM,experiment1,flat,ZN-coin_422-3_20231205230049_02_1,14.78443214045766,0.5108834080386099,348.0851483798039,18.657040182724696,46.657440185546875,-4.532584929405271,0.9726777748281776,0.9897375844438612,44.906494140625,
