target,model,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,n_batteries,n_metric_rows,performance_score,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,n_features,feature_quality_score,performance_rank
RUL,CNN,CALCE,CALCE,364.0615764715011,1.4683080969321094,400.68984097548065,-0.394370996243008,0.8867541455415118,2,2,0.28125,0.3094574615243322,0.25471645886777317,0.759975479463217,0.6787922361404579,0.0625,16,0.5827417257093357,19
RUL,CNN,SNL,SNL,300.3300892186505,1.7473042906786467,357.8839124124052,0.15449056453412643,0.7735813431107127,10,10,0.27083333333333337,0.3593712087732947,0.4127143623937205,0.5879159688138286,0.5807825348318784,0.0,16,0.5093565708063338,20
RUL,CNN,CALB42,CALB,59.50791962136162,2.5853530506712508,63.719561510057474,-8.86982814693484,0.27539880467945016,5,5,0.22916666666666666,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,21
RUL,CNN,ZN-coin,ZN-coin,129.09003786824948,6382.060384835126,151.53121873033942,-10.38859355813205,0.93986515774244,20,20,0.21875,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,22
RUL,CNN,CALB2024,CALB,93.09383876935028,3.9882525630769345,173.5073850971404,-26.838951986788864,0.49089143732433166,5,5,0.11458333333333333,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,23
RUL,CNN,ISU_ILCC,ISU_ILCC,1089.821150078674,4.0545813712318335,1379.9818258096202,-6.056612807753591,0.6590073449790009,48,48,0.11458333333333331,0.10621189738340767,0.09542576146725401,0.2243400565409862,0.2015850390214956,0.0,16,0.17737899764862983,24
RUL,GRU,XJTU,XJTU,20.363342550637654,0.2157273746617877,25.342570162475948,0.8495790146862124,0.9951276095996852,4,4,0.9375,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,16,0.8149778943047671,1
RUL,GRU,HNEI,HNEI,24.12106765476907,0.4773847769204863,36.52574298486357,0.9862304633648726,0.994406955078524,2,2,0.8948863636363636,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,16,0.9515271797290272,2
RUL,GRU,MICH,MICH,35.745573396884424,0.3868718392979686,41.26041711419529,0.9112132955580243,0.9935457395111637,8,8,0.8522727272727273,0.5064231312771605,0.42206116633886814,0.9294795566397764,0.8850568449298256,0.375,16,0.7736531776155875,3
RUL,GRU,NAion42,NA-ion,17.887378301607587,0.6826692010840826,20.413606045790395,0.704460549934799,0.9927309448053384,5,5,0.7992424242424243,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,4
RUL,GRU,NAion,NA-ion,18.525341246828283,0.616886219171403,21.739369582112523,0.8288952724677365,0.9872800292053823,5,5,0.7954545454545453,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,5
RUL,GRU,Stanford,Stanford,70.93713486864799,0.5226683416557331,80.91039452987877,0.9065429016069966,0.9921895748078128,8,8,0.7566287878787878,0.5858744512784766,0.7091253500485417,0.9158149683641564,0.8601016936787613,0.5,16,0.7872637044404648,6
RUL,GRU,SDU,SDU,44.95363653330922,0.32506096046930005,61.10016933615696,0.7761153725729516,0.9608304493149847,17,17,0.6875,0.5412679884064729,0.7124474336053608,0.8780163231613252,0.8536691388160751,0.5,16,0.7576511501279578,7
