target,model,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,n_batteries,n_metric_rows,performance_score,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,n_features,feature_quality_score,performance_rank,group
SOH,GRU,NAion2024,NA-ion,0.0007967927473563801,0.00098436851318138,0.0013893098944793999,0.9980365218415341,0.9993942638403688,5,5,0.9270833333333333,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,16,0.6765488807357153,2,性能最好
SOH,GRU,NAion42,NA-ion,0.00083964750815168,0.00100856582857508,0.00108610043540154,0.9961834174180118,0.9991439726630885,5,5,0.8958333333333334,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,16,0.6765488807357153,3,性能最好
SOH,GRU,UL_PUR,UL_PUR,0.059208458722461395,0.0642639620338792,0.06218232903555029,-1.0310667957203101,0.9527361383537689,2,2,0.17708333333333331,0.6258631749163975,0.5977273196169286,0.8916610748111519,0.8717997683103565,0.4375,16,0.7964413393459687,24,性能最差
SOH,GRU,ZN-coin2024,ZN-coin,0.055450871933761615,0.06804157322147443,0.0665589092176087,0.7455101499336432,0.944304254035129,20,20,0.1875,0.5999550791803668,0.7283110454629567,0.8277727374267557,0.8184261604916131,0.25,16,0.7487179923662453,23,性能最差
SOH,GRU,ISU_ILCC,ISU_ILCC,0.045703277003074305,0.16707984691216407,0.05692363004779474,0.7664497501642787,0.9782445185225995,48,48,0.25,0.4431003504125348,0.4297514200099952,0.7702033487864858,0.7331115110282359,0.125,16,0.6488050700757522,22,性能最差
SOH,LSTM,NAion,NA-ion,0.00062108998895664,0.00074595646750898,0.0010086539720889202,0.9989426788501264,0.9996916368034083,5,5,0.9770833333333333,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,16,0.6765488807357153,1,性能最好
SOH,LSTM,XJTU,XJTU,0.0014887160272964001,0.001607595318700675,0.0019027124829276499,0.9981369123484743,0.9993852588869891,4,4,0.9333333333333332,0.558355358855729,0.5416575130627215,0.9383131406030448,0.855079930022967,0.1875,16,0.7839161431605802,2,性能最好
SOH,LSTM,RWTH,RWTH,0.004740704336236444,0.009438511772231834,0.006991631206705389,0.9989582389063649,0.9996956210105389,9,9,0.90625,0.8048668235156076,0.9590176387261788,0.9982899618340508,0.9967637235821853,0.75,16,0.9333068363106145,3,性能最好
SOH,LSTM,SDU,SDU,0.08154695494058543,0.09315384249052718,0.09537094276057077,-0.6064354522383676,,17,17,0.125,0.5821527820515832,0.6096411362281595,0.8503627993846817,0.7436472442596699,0.125,16,0.7253876085653116,24,性能最差
SOH,LSTM,Tongji,Tongji,0.05415877339468586,0.06524818363725404,0.06287155224657182,-0.48602111783967383,,21,21,0.1944444444444445,0.22644620842873556,0.25234041698030135,0.4589297561043,0.4298096324705729,0.0,16,0.3717285323345361,23,性能最差
SOH,LSTM,ZN-coin2024,ZN-coin,0.05377669061697769,0.06600334715653015,0.06328564166019753,0.7670064242075433,0.9761876752738022,20,20,0.3,0.5999550791803668,0.7283110454629567,0.8277727374267557,0.8184261604916131,0.25,16,0.7487179923662453,22,性能最差
SOH,MLP,NAion,NA-ion,0.00072454952145044,0.00086947941479436,0.00086165656496162,0.999119340306969,0.9998456607470814,5,5,0.9895833333333334,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,16,0.6765488807357153,1,性能最好
SOH,MLP,NAion42,NA-ion,0.00093728040787114,0.00113461790050786,0.00119332076591384,0.9964300755864837,0.9994031128691322,5,5,0.9166666666666666,0.35217775041725363,0.2872345618255437,0.996647016185339,0.6808218756045532,0.0625,16,0.6765488807357153,2,性能最好
SOH,MLP,RWTH,RWTH,0.0033385411902709223,0.006101474224364611,0.0051399911324658334,0.9994449307867765,0.9998169923222311,9,9,0.8958333333333334,0.8048668235156076,0.9590176387261788,0.9982899618340508,0.9967637235821853,0.75,16,0.9333068363106145,3,性能最好
SOH,MLP,MICH_EXP,MICH_EXP,0.026451543099135794,0.0335062628857837,0.03395218907365947,0.4366293012723616,0.956048356907159,3,3,0.22916666666666666,0.37254519259179314,0.33255607826486855,0.6765914253865224,0.6531024264924588,0.0,16,0.5674130148235914,24,性能最差
SOH,MLP,ZN-coin2024,ZN-coin,0.04914685574847705,0.06016803079250645,0.05518327885956924,0.791686011855584,0.9852861057997206,20,20,0.2708333333333333,0.5999550791803668,0.7283110454629567,0.8277727374267557,0.8184261604916131,0.25,16,0.7487179923662453,23,性能最差
SOH,MLP,ISU_ILCC,ISU_ILCC,0.03894276378604817,0.15788489113052787,0.048149691611058566,0.919551709343864,0.9828208832875981,48,48,0.2708333333333333,0.4431003504125348,0.4297514200099952,0.7702033487864858,0.7331115110282359,0.125,16,0.6488050700757522,22,性能最差
