target,task,dataset,model,mae,mape,rmse,r2,pearson_r,n_batteries,mean_feature_truth_corr,max_feature_truth_corr,top3_feature_truth_corr,n_valid_feature_corr
RUL,XJTU,XJTU,LSTM,18.845329130190922,0.18833579478315543,22.892243510594305,0.8871359559687173,0.9818623043423649,4,0.584860791737689,0.9658673099702948,0.8942055812063175,16
RUL,XJTU,XJTU,MLP,13.694187495963869,0.18917392590561047,16.16714498617325,0.9427240626230976,0.9950537938722215,4,0.584860791737689,0.9658673099702948,0.8942055812063175,16
RUL,ZN-coin,ZN-coin,Attention,125.39865216046978,6173.601842054749,145.62751235935738,-11.105106600445763,0.9254556364959405,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin,ZN-coin,CNN,129.09003786824948,6382.060384835126,151.53121873033942,-10.38859355813205,0.93986515774244,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin,ZN-coin,GRU,125.85529996569994,5198.784818618714,148.57882431832678,-8.48021680970967,0.9293642836783234,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin,ZN-coin,LSTM,126.92617929243659,6517.2313682722015,143.08496613276625,-6.304687087107249,0.9305648075922935,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin,ZN-coin,MLP,130.66796671518824,5144.510693262817,151.52325415525246,-11.821875543406911,0.9333158678084675,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin2024,ZN-coin,Attention,148.4129285698944,1.185829275109224,168.2710373844625,-1.665581206701821,0.8458527008742809,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin2024,ZN-coin,CNN,148.34252870184795,1.443517855303363,168.67142761478385,-1.6915433283643662,0.8699216795028226,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin2024,ZN-coin,GRU,154.36997918355533,1.2238124752016,179.6629421982887,-1.8965753291132141,0.8568651052679485,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin2024,ZN-coin,LSTM,148.62919848982935,1.23413664643567,171.10092901269633,-1.4738351435147288,0.8782026991416467,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
