target,task,dataset,model,feature,mean_abs_error_sensitivity,mean_signed_error_sensitivity,mean_abs_rel_error_sensitivity,mean_abs_pred_link,n_batteries,mean_rows,feature_truth_spearman,feature_truth_abs_spearman
SOH,HUST,HUST,CNN,CC_charge_time,0.5549990806194331,-0.5473431378799564,0.5806894276664281,0.9242921504309561,15,1832.8,0.8403434861415402,0.8403434861415402
SOH,HUST,HUST,CNN,CV_Q,0.4460875719166877,-0.036748087858488314,0.45856912692153556,0.6133173457349589,15,1832.8,0.250442035379377,0.250442035379377
SOH,HUST,HUST,CNN,CV_charge_time,0.45803900663892205,-0.051136177870847774,0.46896251547163226,0.6135965525204933,15,1832.8,0.3629637991864839,0.3629637991864839
SOH,HUST,HUST,CNN,current_entropy,0.37985183117880683,0.24127175401241088,0.38922576130198866,0.49515490319337896,15,1832.8,0.0003027362289511,0.0003027362289511
SOH,HUST,HUST,CNN,current_kurtosis,0.46043062243578575,-0.3996769286282474,0.47849135045518654,0.6373929903613079,15,1832.8,0.3948244937990487,0.3948244937990487
SOH,HUST,HUST,CNN,current_mean,0.4298044800038008,0.38771948989803556,0.4451152908788247,0.5765748228690476,15,1832.8,-0.3546310959509368,0.3546310959509368
SOH,HUST,HUST,CNN,current_skewness,0.4764870525669345,-0.4112111727688554,0.4928027635603602,0.6300317472030261,15,1832.8,0.3683299773442075,0.3683299773442075
SOH,HUST,HUST,CNN,current_slope,0.4564297639906259,-0.051456554890876145,0.4660580744201619,0.618538649649203,15,1832.8,0.4747129622564435,0.4747129622564435
SOH,HUST,HUST,CNN,current_std,0.3397180067407035,0.2896024483237821,0.34796876146521966,0.511960598483892,15,1832.8,-0.4779112576259472,0.4779112576259472
SOH,HUST,HUST,CNN,voltage_entropy,0.530987740719263,0.530987740719263,0.5554646896941094,0.8371639201927381,15,1832.8,-0.500346580525144,0.500346580525144
SOH,HUST,HUST,CNN,voltage_kurtosis,0.5246013735479139,-0.5246013735479139,0.5510880181346587,0.8552906930881093,15,1832.8,0.6337205954107676,0.6337205954107676
SOH,HUST,HUST,CNN,voltage_mean,0.5320258306911156,0.5320258306911155,0.5585659945526686,0.8599053931644708,15,1832.8,-0.5877795646684766,0.5877795646684766
SOH,HUST,HUST,CNN,voltage_skewness,0.5316274287312506,-0.5316274287312505,0.5581489309653668,0.8561615419321359,15,1832.8,0.6361750152461743,0.6361750152461743
SOH,HUST,HUST,CNN,voltage_slope,0.5585041788362053,0.5479321275617878,0.5803615274555605,0.9216725328292806,15,1832.8,-0.8506072358471848,0.8506072358471848
SOH,HUST,HUST,CNN,voltage_std,0.509270241175715,0.509270241175715,0.5352557514048285,0.8368756480201174,15,1832.8,-0.6021181892243671,0.6021181892243671
SOH,HUST,HUST,GRU,CC_Q,0.5987630239865308,-0.5987630239865308,0.6198896834601083,0.9292792589375799,15,1832.8,0.8390655861433428,0.8390655861433428
SOH,HUST,HUST,GRU,CC_charge_time,0.6009935626361027,-0.6009935626361027,0.6220734578165853,0.9306989738158895,15,1832.8,0.8403434861415402,0.8403434861415402
SOH,HUST,HUST,GRU,CV_Q,0.41687805272309586,-0.1553636561112332,0.4272735321934655,0.5995691108033357,15,1832.8,0.250442035379377,0.250442035379377
SOH,HUST,HUST,GRU,CV_charge_time,0.42021246214655633,-0.18769014368969997,0.4313550853763054,0.6032663657327517,15,1832.8,0.3629637991864839,0.3629637991864839
