target,task,model,experiment,battery_name,mae,mape,mse,rmse,max_ae,bias,r2,pearson_r,endpoint_ae,endpoint_ape
SOH,MIX_large,LSTM,experiment1,MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c,0.0195929459129196,0.0251983005584582,0.0016072353612076,0.0400903399986538,0.7352746725082397,0.0169044127502289,0.9487480498174105,0.9788133045950492,0.7352746725082397,
SOH,MIX_large,LSTM,experiment1,MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d,0.01745967056583,0.0173627440547346,0.0024808141854106,0.0498077723393714,1.09316086769104,0.0139714696936681,0.8057111868337313,0.910535310491206,1.09316086769104,
SOH,MIX_large,LSTM,experiment1,MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j,0.0141744935954058,0.0155943914004038,0.0006501102044335,0.0254972587631206,0.4524241089820862,0.010018484018467,0.9617990585805944,0.983774083413378,0.4524241089820862,
SOH,MIX_large,LSTM,experiment1,RWTH_005,0.007378566083506,0.0164713713738611,0.0001047167118077,0.0102331183814016,0.2045279741287231,0.0051080126172314,0.998367177471142,0.9994509494249572,0.0166009664535522,0.088661528238145
SOH,MIX_large,LSTM,experiment1,RWTH_008,0.0048238096276672,0.0119544936512695,5.892456032121482e-05,0.0076762334722971,0.2043771147727966,-0.0003463987484728,0.9990343066658914,0.9995376620910568,0.0067395567893981,0.033053195822887
SOH,MIX_large,LSTM,experiment1,RWTH_015,0.00713817401906,0.0146548483014135,8.154445517260237e-05,0.0090301968512653,0.1173033118247985,0.0035853232157298,0.9986267684879334,0.9996075437224642,0.0002709627151489,0.0013645593090275
SOH,MIX_large,LSTM,experiment1,RWTH_017,0.0065282750229084,0.0144471915305947,7.688943083577674e-05,0.0087686618611836,0.1197398900985717,0.0029055183657746,0.9987283543805914,0.9995673712748824,0.0078165829181671,0.0363922825566632
SOH,MIX_large,LSTM,experiment1,RWTH_020,0.0044845551132463,0.010943011859731,3.724508017342421e-05,0.0061028747466603,0.0279054641723632,-0.0015045451462455,0.9993716478994792,0.9997412756329078,0.0060954391956329,0.0275918347304019
SOH,MIX_large,LSTM,experiment1,RWTH_023,0.0126078178741929,0.0251676971873652,0.0004425108074209,0.0210359408494346,0.1652617156505584,0.0094467970726307,0.9915127255356172,0.9966495025382852,0.022442877292633,0.0992918386944379
SOH,MIX_large,LSTM,experiment1,RWTH_035,0.009594584128716,0.0154970421817754,0.0003780458054279,0.0194434000480364,0.6618120074272156,-0.0001489351612991,0.9906877995777756,0.9957050227960476,0.0084256529808044,0.0294693427337365
